Topic,Representation
167,"['quarks', 'quark', 'particles', 'protons', 'bosons', 'particle', 'proton', 'leptons', 'fermions', 'neutrinos']"
168,"['polypropylene', 'polymers', 'polymer', 'polyethylene', 'polymerization', 'polystyrene', 'polyvinyl', 'plastics', 'polyester', 'polyesters']"
169,"['bourbon', '1685', '1643', 'heir', '1598', 'eldest', 'nobles', '1830', 'duchess', '1617']"
170,"['cartoons', 'goofy', 'cartoon', 'bunny', 'hare', 'rabbit', 'mascot', 'duck', 'animators', 'animator']"
171,"['mountains', 'mountain', 'plains', 'topography', 'southwestern', 'northeast', 'valleys', 'canyons', 'valley', 'hills']"
172,"['epic', 'developers', 'studio', 'studios', 'blizzard', 'royale', 'legends', 'developer', 'release', 'esports']"
173,"['sergeant', 'lieutenants', 'sergeants', 'lieutenant', 'ranks', 'enlisted', 'corporal', 'platoon', 'corporals', 'commanders']"
174,"['yoon', 'jong', 'hyun', 'jae', 'jung', 'candidate', 'candidates', 'lee', 'kyung', 'candidacy']"
175,"['villa', 'rebelled', 'barrios', 'rebellion', 'generals', 'rebellions', 'bandit', 'revolt', 'uprising', 'coup']"
176,"['animator', 'animators', 'animation', 'animating', 'animated', 'cartoon', 'animate', 'studios', 'dwarfs', 'films']"
177,"['dementia', 'dementias', 'neurodegenerative', 'parkinsonism', 'impairment', 'impairments', 'disease', 'disorders', 'diagnosis', 'neurocognitive']"
178,"['doctor', 'doctors', 'dr', 'actor', 'tenth', 'lords', 'actors', 'alien', 'showrunner', 'companion']"
179,"['counties', 'midlands', 'county', 'boroughs', 'district', 'countryside', 'towns', 'councils', 'districts', 'wards']"
180,"['philosopher', 'philosophy', 'platonic', 'philosophers', 'stoicism', 'virtues', 'philosophical', 'virtue', 'stoic', 'ethics']"
181,"['neural', 'neuron', 'neurons', 'convolutions', 'backpropagation', 'layers', 'convolutional', 'networks', 'recognition', 'convolution']"
182,"['vaccines', 'vaccine', 'vaccination', 'vaccinated', 'vaccinate', 'immunization', 'coronavirus', 'coronaviruses', 'unvaccinated', 'pandemics']"
